iter	RMSE
0	29104.1329
1	28278.52276
2	27534.35133
3	26780.44851
4	26033.71738
5	25368.11204
6	24703.05099
7	24115.29259
8	23531.71428
9	22923.42144
10	22386.03321
11	21864.75666
12	21354.04404
13	20856.66434
14	20432.94989
15	19989.70531
16	19561.88116
17	19123.27902
18	18692.87589
19	18323.67467
20	17938.35917
21	17608.56042
22	17283.52893
23	16953.34912
24	16669.76567
25	16371.31298
26	16091.15296
27	15812.85267
28	15526.47556
29	15290.24204
30	15024.25253
31	14771.74068
32	14552.26057
33	14348.27313
34	14129.24646
35	13931.30385
36	13735.10557
37	13534.19157
38	13355.49963
39	13189.12417
40	12967.09607
41	12805.5924
42	12683.14278
43	12527.00735
44	12389.76127
45	12272.21434
46	12134.85855
47	12008.10068
48	11868.53096
49	11757.90518
50	11655.06867
51	11557.53651
52	11468.16148
53	11343.6327
54	11264.01791
55	11170.25552
56	11058.41874
57	10952.29073
58	10845.22198
59	10737.57103
60	10648.29422
61	10573.49189
62	10486.67017
63	10434.55282
64	10373.51427
65	10316.29342
66	10255.70856
67	10204.90361
68	10126.08636
69	10064.48229
70	10007.94863
71	9942.824028
72	9880.197841
73	9815.117108
74	9743.704642
75	9692.572601
76	9642.324656
77	9594.123655
78	9550.433166
79	9479.130584
80	9423.543866
81	9354.566616
82	9326.591103
83	9290.337482
84	9251.76784
85	9194.388533
86	9135.374289
87	9088.082662
88	9031.637795
89	8967.099369
90	8935.000044
91	8895.573053
92	8846.190585
93	8813.277042
94	8771.513605
95	8730.682537
96	8694.898201
97	8659.510365
98	8629.080284
99	8594.045924
100	8561.063105
101	8526.138067
102	8498.833013
103	8459.590436
104	8437.064147
105	8405.837829
106	8382.29847
107	8355.932383
108	8323.381071
109	8296.546205
110	8274.633261
111	8252.486985
112	8223.61836
113	8195.100653
114	8162.176203
115	8142.215111
116	8115.946806
117	8093.200779
118	8078.03862
119	8056.781163
120	8032.370989
121	8016.285048
122	7990.207111
123	7964.228208
124	7942.499016
125	7923.172426
126	7898.186794
127	7877.282175
128	7848.428204
129	7824.969841
130	7807.844771
131	7781.243195
132	7757.899157
133	7734.021577
134	7717.395316
135	7701.269035
136	7685.13514
137	7672.977673
138	7661.742832
139	7647.652381
140	7632.835622
141	7606.124845
142	7587.45764
143	7577.500171
144	7559.312612
145	7544.920329
146	7524.102118
147	7506.011237
148	7492.363509
149	7479.484078
150	7465.162186
151	7457.833116
152	7437.182948
153	7416.600873
154	7402.06053
155	7376.946611
156	7368.390872
157	7344.488038
158	7329.59359
159	7310.429015
160	7294.03911
161	7281.664794
162	7265.475383
163	7248.800133
164	7231.039836
165	7210.252218
166	7195.342657
167	7182.2054
168	7165.892887
169	7152.883829
170	7135.344176
171	7119.420165
172	7115.667371
173	7097.16636
174	7087.278356
175	7077.848976
176	7062.891131
177	7060.032532
178	7049.534352
179	7040.507945
180	7021.581802
181	7003.693898
182	6988.828824
183	6971.142482
184	6967.649573
185	6956.007312
186	6942.434208
187	6931.000308
188	6915.689779
189	6905.532089
190	6901.453721
191	6893.069075
192	6880.709687
193	6870.000925
194	6855.827251
195	6853.216346
196	6835.380224
197	6832.053837
198	6822.771223
199	6810.791424
200	6797.95108
201	6781.296347
202	6766.246821
203	6748.097396
204	6738.884523
205	6727.95759
206	6726.826887
207	6726.083386
208	6719.996223
209	6718.140888
210	6703.79469
211	6689.708428
212	6678.032474
213	6669.459076
214	6665.846754
215	6651.791078
216	6639.784856
217	6633.251833
218	6618.219922
219	6609.655795
220	6608.62705
221	6596.396175
222	6585.0951
223	6583.62384
224	6572.467756
225	6571.482956
226	6565.578898
227	6564.392693
228	6552.25377
229	6551.355195
230	6537.814946
231	6536.944716
232	6523.085288
233	6511.478746
234	6496.974091
235	6482.829071
236	6481.971712
237	6473.071875
238	6462.293057
239	6452.762304
240	6451.955743
241	6443.550458
242	6441.733426
243	6431.768319
244	6420.133876
245	6410.628874
246	6409.754947
247	6395.9117
248	6386.869969
249	6380.064151
250	6367.716763
251	6353.893622
252	6348.456758
253	6335.527423
254	6321.76266
255	6302.992322
256	6293.181553
257	6275.037244
258	6258.453201
259	6254.78964
260	6244.077874
261	6229.377397
262	6215.0789
263	6199.429716
264	6198.751777
265	6184.768845
266	6170.951915
267	6162.908245
268	6148.438054
269	6147.682479
270	6146.935887
271	6136.613716
272	6128.089411
273	6117.515657
274	6103.275705
275	6089.462325
276	6077.334119
277	6068.860223
278	6068.245688
279	6059.727345
280	6059.137779
281	6046.909833
282	6033.643734
283	6025.736893
284	6025.067376
285	6013.924239
286	6000.073824
287	5990.257942
288	5971.946133
289	5968.85454
290	5968.291913
291	5955.368473
292	5946.406992
293	5937.370002
294	5936.423563
295	5935.815999
296	5935.288355
297	5922.586695
298	5922.080228
299	5914.84508
300	5903.312962
301	5896.025579
302	5885.083355
303	5873.362651
304	5865.243545
305	5852.189994
306	5838.360017
307	5828.226865
308	5822.123477
309	5808.693917
310	5808.150643
311	5795.201418
312	5786.467819
313	5778.92525
314	5768.048618
315	5761.18022
316	5754.653079
317	5754.23437
318	5747.238735
319	5739.34917
320	5738.901807
321	5735.46617
322	5725.925924
323	5715.921251
324	5705.036862
325	5704.637937
326	5693.107554
327	5685.982325
328	5684.455822
329	5675.640597
330	5675.224261
331	5674.839379
332	5661.755084
333	5649.310629
334	5638.786657
335	5628.424942
336	5618.998778
337	5611.033029
338	5599.281
339	5590.154566
340	5583.174688
341	5574.469175
342	5568.118775
343	5561.046502
344	5553.541289
345	5547.08801
346	5535.657112
347	5535.27257
348	5522.234871
349	5512.804996
350	5504.641381
351	5498.073517
352	5497.719016
353	5490.015531
354	5489.669977
355	5479.630649
356	5471.095048
357	5464.049754
358	5463.699232
359	5457.122168
360	5450.195106
361	5449.300219
362	5442.185547
363	5441.208261
364	5431.003526
365	5426.919279
366	5419.32807
367	5414.56358
368	5408.221839
369	5404.755522
370	5401.599532
371	5399.409272
372	5393.25219
373	5385.93643
374	5378.091362
375	5371.75013
376	5370.296573
377	5362.097618
378	5352.900741
379	5346.167802
380	5337.961276
381	5329.777358
382	5319.652224
383	5309.287648
384	5301.876557
385	5301.476966
386	5301.154601
387	5291.036948
388	5283.920318
389	5283.617849
390	5272.372767
391	5265.022784
392	5261.05557
393	5251.91158
394	5245.749571
395	5238.711275
396	5234.272569
397	5224.399999
398	5213.660819
399	5203.401283
400	5203.057643
401	5196.788595
402	5187.204755
403	5180.977576
404	5170.079284
405	5169.77809
406	5169.501492
407	5160.255327
408	5159.96684
409	5156.734694
410	5148.706533
411	5143.939815
412	5135.1694
413	5134.9498
414	5128.023672
415	5119.551193
416	5113.437156
417	5108.789884
418	5098.448131
419	5093.167209
420	5087.155106
421	5081.827602
422	5078.001601
423	5071.498096
424	5066.292056
425	5056.180312
426	5048.158913
427	5042.808783
428	5033.774667
429	5025.376709
430	5020.931559
431	5013.053809
432	5012.720062
433	5006.630298
434	5001.064256
435	4993.930246
436	4987.345543
437	4982.781181
438	4979.618755
439	4970.047485
440	4961.730252
441	4957.055648
442	4948.774606
443	4948.536558
444	4940.504573
445	4940.246305
446	4929.832666
447	4929.495615
448	4920.663005
449	4913.766157
450	4906.776336
451	4906.488874
452	4906.267828
453	4897.872746
454	4893.337673
455	4885.233775
456	4878.875007
457	4871.187632
458	4863.332091
459	4856.65269
460	4849.164623
461	4844.928292
462	4840.7091
463	4836.024176
464	4827.864521
465	4821.710726
466	4821.460732
467	4816.661969
468	4810.872698
469	4804.355947
470	4796.849956
471	4791.557494
472	4783.610984
473	4778.99013
474	4778.782487
475	4773.016358
476	4766.695371
477	4759.867473
478	4754.014683
479	4747.918489
480	4741.33623
481	4734.506611
482	4730.196242
483	4724.92929
484	4721.112177
485	4718.139673
486	4712.843384
487	4712.626482
488	4704.307137
489	4697.466238
490	4693.118312
491	4689.172595
492	4680.252873
493	4671.35791
494	4667.210448
495	4659.900604
496	4652.039226
497	4648.809162
498	4644.229961
499	4638.683005
500	4635.168313
501	4633.152658
502	4628.868976
503	4618.855314
504	4611.985143
505	4609.385182
506	4600.984064
507	4600.790605
508	4595.930781
509	4591.235227
510	4587.257435
511	4581.006062
512	4575.358467
513	4567.527523
514	4560.544498
515	4552.942467
516	4546.485396
517	4541.060599
518	4535.955059
519	4529.217709
520	4523.113969
521	4518.171516
522	4510.368661
523	4506.312315
524	4502.503081
525	4498.910055
526	4493.633469
527	4485.03147
528	4481.294462
529	4475.452704
530	4470.067382
531	4463.812866
532	4460.115476
533	4457.66801
534	4452.035544
535	4443.662887
536	4440.101246
537	4439.893853
538	4435.94829
539	4432.604485
540	4425.395997
541	4419.08813
542	4413.500021
543	4407.433088
544	4401.959726
545	4398.208404
546	4394.429068
547	4388.080952
548	4382.608652
549	4378.390312
550	4375.183537
551	4368.542965
552	4364.713242
553	4359.795958
554	4354.475788
555	4349.461051
556	4344.799039
557	4338.12658
558	4332.504848
559	4330.140836
560	4328.967627
561	4326.512058
562	4323.14478
563	4318.992536
564	4310.341384
565	4305.482914
566	4299.584975
567	4296.255171
568	4288.796423
569	4285.962175
570	4280.185885
571	4276.396852
572	4269.729457
573	4263.845442
574	4258.647346
575	4253.55485
576	4247.728157
577	4242.716955
578	4238.2316
579	4234.662522
580	4230.601286
581	4226.527808
582	4224.456818
583	4220.166108
584	4219.423821
585	4214.416409
586	4213.115555
587	4212.431335
588	4208.791313
589	4203.962538
590	4200.599725
591	4196.045526
592	4190.470195
593	4190.193655
594	4185.452513
595	4180.566602
596	4177.152938
597	4174.955606
598	4170.038264
599	4163.86223
600	4158.652621
601	4153.855825
602	4150.605209
603	4146.252745
604	4143.225946
605	4136.834762
606	4131.745396
607	4127.619267
608	4123.302707
609	4116.954908
610	4116.740273
611	4112.253213
612	4108.699615
613	4103.404658
614	4097.643708
615	4092.485457
616	4086.673422
