iter	Passed	Remaining
0	2	2764
1	5	2535
2	7	2390
3	9	2259
4	11	2218
5	14	2413
6	16	2342
7	18	2265
8	21	2316
9	23	2298
10	25	2309
11	28	2314
12	29	2263
13	32	2297
14	35	2304
15	37	2335
16	40	2316
17	42	2292
18	43	2269
19	46	2266
20	48	2270
21	51	2285
22	54	2320
23	56	2308
24	58	2288
25	60	2284
26	63	2277
27	65	2275
28	68	2282
29	71	2305
30	80	2501
31	83	2530
32	91	2695
33	98	2799
34	103	2854
35	111	2997
36	130	3387
37	140	3546
38	151	3723
39	155	3730
40	163	3829
41	166	3794
42	168	3755
43	177	3865
44	180	3838
45	189	3924
46	192	3899
47	213	4228
48	221	4305
49	224	4270
50	227	4226
51	229	4176
52	231	4129
53	232	4078
54	234	4030
55	236	3989
56	238	3945
57	240	3912
58	243	3879
59	244	3838
60	246	3799
61	248	3760
62	250	3723
63	252	3688
64	254	3654
65	256	3624
66	258	3596
67	259	3563
68	261	3530
69	263	3500
70	265	3470
71	266	3441
72	268	3412
73	270	3387
74	272	3361
75	274	3333
76	275	3305
77	277	3278
78	279	3252
79	280	3227
80	282	3203
81	284	3179
82	285	3158
83	287	3139
84	289	3120
85	291	3098
86	293	3077
87	294	3056
88	296	3037
89	298	3016
90	299	2995
91	301	2976
92	303	2959
93	305	2940
94	306	2922
95	308	2907
96	310	2890
97	312	2877
98	314	2862
99	316	2849
100	319	2841
101	321	2830
102	323	2817
103	325	2802
104	327	2789
105	329	2775
106	330	2762
107	333	2757
108	336	2752
109	338	2741
110	340	2729
111	342	2719
112	345	2709
113	347	2698
114	350	2695
115	353	2691
116	355	2680
117	357	2668
118	359	2658
119	361	2647
120	363	2640
121	365	2633
122	368	2625
123	369	2613
124	371	2600
125	373	2588
126	374	2575
127	376	2563
128	378	2552
129	379	2541
130	381	2530
131	383	2522
132	385	2513
133	387	2503
134	388	2491
135	390	2480
136	391	2468
137	393	2456
138	394	2445
139	396	2436
140	398	2429
141	400	2418
142	401	2407
143	403	2397
144	404	2388
145	406	2379
146	408	2369
147	410	2360
148	411	2352
149	414	2346
150	415	2336
151	416	2326
152	418	2317
153	420	2307
154	421	2298
155	423	2288
156	424	2279
157	425	2270
158	429	2269
159	431	2263
160	432	2255
161	434	2247
162	436	2239
163	437	2232
164	439	2224
165	440	2215
166	442	2207
167	444	2203
168	447	2198
169	449	2192
170	450	2185
171	452	2178
172	454	2170
173	455	2162
174	457	2154
175	459	2149
176	461	2145
177	462	2137
178	464	2130
179	466	2123
180	467	2115
181	469	2107
182	470	2100
183	471	2092
184	473	2086
185	475	2081
186	477	2075
187	479	2069
188	480	2063
189	482	2056
190	483	2049
191	485	2044
192	487	2039
193	489	2033
194	491	2030
195	494	2028
196	496	2024
197	499	2024
198	504	2030
199	509	2036
200	513	2040
201	515	2037
202	517	2033
203	520	2030
204	523	2031
205	526	2030
206	528	2024
207	529	2014
208	531	2009
209	532	2004
210	534	1999
211	536	1993
212	538	1990
213	541	1987
214	542	1982
215	544	1978
216	546	1972
217	548	1966
218	549	1960
219	551	1954
220	553	1949
221	555	1946
222	557	1941
223	558	1935
224	560	1931
225	562	1926
226	564	1920
227	565	1915
228	567	1909
229	568	1904
230	570	1898
231	571	1893
232	573	1887
233	574	1881
234	576	1876
235	578	1871
236	579	1866
237	581	1861
238	582	1855
239	584	1849
240	585	1844
241	587	1838
242	588	1833
243	589	1827
244	591	1822
245	593	1817
246	594	1812
247	596	1807
248	598	1804
249	599	1799
250	601	1795
251	603	1791
252	605	1786
253	606	1782
254	608	1777
255	610	1773
256	611	1768
257	613	1763
258	614	1759
259	616	1755
260	618	1750
261	619	1746
262	621	1742
263	623	1738
264	625	1734
265	626	1729
266	628	1725
267	630	1721
268	631	1717
269	633	1712
270	634	1708
271	636	1704
272	638	1700
273	640	1696
274	641	1691
275	643	1687
276	645	1683
277	646	1679
278	648	1675
279	649	1671
280	651	1667
281	653	1663
282	655	1659
283	656	1655
284	658	1651
285	659	1646
286	661	1642
287	662	1638
288	664	1633
289	665	1629
290	667	1625
291	668	1620
292	669	1616
293	671	1611
294	672	1608
295	674	1604
296	676	1600
297	677	1596
298	679	1592
299	680	1588
300	682	1584
301	683	1580
302	685	1576
303	686	1572
