iter	RMSE
0	0.9537360597
1	0.9303656128
2	0.9077443595
3	0.8857759036
4	0.8652085529
5	0.8464516325
6	0.8280842037
7	0.8123182839
8	0.7933803354
9	0.776717862
10	0.7591528806
11	0.745271628
12	0.7327343345
13	0.716101225
14	0.7046139473
15	0.6928773062
16	0.681217259
17	0.6688773613
18	0.6558255261
19	0.6453301362
20	0.6360866439
21	0.6269163053
22	0.6153222809
23	0.6068757797
24	0.5970619366
25	0.5871097537
26	0.5784918742
27	0.5713233339
28	0.5648961755
29	0.5577573298
30	0.5506299462
31	0.5439272411
32	0.5364058631
33	0.5297157616
34	0.5250914335
35	0.5190310386
36	0.5127917229
37	0.5071143442
38	0.5025925902
39	0.4983255384
40	0.4931377108
41	0.4889658802
42	0.4844020737
43	0.4797669182
44	0.4755995163
45	0.4718674434
46	0.4674138028
47	0.4631000479
48	0.4591860229
49	0.4564430825
50	0.4536419371
51	0.4504198056
52	0.4472339644
53	0.4446043246
54	0.4423277252
55	0.4388852885
56	0.4358337877
57	0.4333257578
58	0.4312042613
59	0.4290477674
60	0.4270103067
61	0.4243450541
62	0.4221041092
63	0.4198859369
64	0.4173599068
65	0.415604951
66	0.4136389771
67	0.4122081461
68	0.41019711
69	0.4072123142
70	0.4054581897
71	0.4040476602
72	0.4021764652
73	0.4008352315
74	0.4004694959
75	0.39878759
76	0.396951514
77	0.3952900313
78	0.3940487365
79	0.3925230551
80	0.3909275492
81	0.3895246346
82	0.3886580379
83	0.3867760595
84	0.3855210819
85	0.3840272481
86	0.3832176599
87	0.3824072009
88	0.3820491094
89	0.3810333169
90	0.3802062369
91	0.3789572267
92	0.377527578
93	0.37737918
94	0.3771225418
95	0.3759919447
96	0.3748005308
97	0.3744407516
98	0.3741760449
99	0.373951133
100	0.3730445537
101	0.3723310897
102	0.3719541074
103	0.3716281214
104	0.3709971954
105	0.3699878856
106	0.3691410946
107	0.3676569498
108	0.3673170397
109	0.3667141848
110	0.366157949
111	0.3655380191
112	0.3652127039
113	0.3648588489
114	0.3643166813
115	0.3640373447
116	0.3631874204
117	0.362000016
118	0.3609903792
119	0.3603237136
120	0.36005377
121	0.3597291887
122	0.3588841226
123	0.3583201729
124	0.3575374423
125	0.3567610493
126	0.3557749326
127	0.3548668335
128	0.3542627338
129	0.3540242189
130	0.3530820551
131	0.352873191
132	0.351673249
133	0.351474197
134	0.3513769874
135	0.3507584889
136	0.3501058722
137	0.3494275585
138	0.3492487717
139	0.348948318
140	0.3479768116
141	0.3471458118
142	0.3455555162
143	0.3448687779
144	0.3444197582
145	0.3441999981
146	0.3439164001
147	0.3435062015
148	0.3426011781
149	0.3422879358
150	0.3414837883
151	0.3406067344
152	0.3403732268
153	0.3395518584
154	0.3390384905
155	0.3386931811
156	0.337707506
157	0.3370592796
158	0.3367578062
159	0.3356043424
160	0.3353972948
161	0.3346791993
162	0.3338758823
163	0.3335852193
164	0.3329533919
165	0.3325949073
166	0.3315570858
167	0.3301410234
168	0.3297652613
169	0.3294167344
170	0.3291977067
171	0.328484516
172	0.3277749425
173	0.3269427971
174	0.3265390328
175	0.3257262411
176	0.3255335477
177	0.3248035105
178	0.3245288786
179	0.3237610053
180	0.3235606848
181	0.3233161083
182	0.323115513
183	0.3228776106
184	0.322414505
